TimeStamp,Roll1,Pitch1,Yaw1,Roll2,Pitch2,Yaw2,FRS,EMG1,EMG2
30082,-154.27,84.49,-150.42,5.24,79.6,5.43,2.351,362,322
30192,-152.05,84.82,-147.06,4.51,79.48,4.88,2.356,311,308
30302,-148.61,84.9,-142.25,3.15,79.58,3.92,2.356,394,398
30412,-146.73,85.4,-139.34,1.33,79.65,2.22,2.356,417,466
30522,-145.76,86.01,-139.2,-0.21,79.5,0.1,2.346,249,216
30632,-145.43,86.13,-139.46,-0.86,79.32,-1.22,2.341,157,91
30742,-144.2,86.2,-137.52,-0.78,79.34,-1.06,2.346,242,221
30852,-144.68,86.49,-138.74,-0.49,79.2,-1.26,2.356,260,186
30962,-145.72,86.47,-140.35,-0.13,79.07,-1.29,2.366,354,303
31071,-142.97,86.21,-136.4,-0.18,79.16,-0.92,2.375,107,249
31181,-141.99,86.18,-135.36,22.91,-18.4,78.53,2.317,300,308
31291,-140.68,86.14,-134.16,-1.02,79.1,-1.69,2.278,136,137
31401,-137.64,86.18,-131.16,-1.53,78.96,-2.15,2.322,110,71
31511,-136.29,86.24,-130.05,-1.63,78.78,-2.43,2.336,253,221
31621,-136.53,86.4,-131.23,-1.13,78.6,-2.5,2.444,380,377
31731,-138.12,86.4,-133.52,-0.47,78.48,-2.45,2.644,398,389
31841,-139.48,86.41,-135.08,0.13,78.5,-2.01,2.361,390,499
31951,-143.14,86.59,-139.34,1.12,78.53,-1.2,2.273,405,468
32061,-146.55,86.9,-142.72,0.81,78.73,-1.23,2.239,346,385
32170,-149.55,87.36,-145.47,0,79.06,-1.9,2.248,136,150
32280,-149.2,87.33,-145.45,0.51,78.69,-1.9,2.278,355,364
32390,-146.16,87.11,-141.91,6.39,78.12,5.2,2.307,255,387
32500,-148.63,87.58,-144.19,1.82,78.17,-0.49,2.322,333,453
32610,-158.01,87.87,-155.09,2.39,78.11,-0.97,2.278,250,294
32720,156.55,88.02,159.87,4.78,78.17,1.3,2.146,103,178
32830,111.05,86.92,116.41,12.09,79.75,10.64,2.151,45,62
32940,117.8,86.59,122.07,19.75,78.24,16.62,2.17,295,340
33050,143.93,85.58,142.78,22.07,78.33,15.9,2.41,331,401
33160,160.16,84.86,158.56,26.75,78.88,20.2,2.59,377,379
33270,167.07,83.66,166.61,30.22,79.69,24.4,2.576,216,206
33380,169.07,82.4,168.44,33.16,80.57,27.91,2.512,205,213
33490,169.77,81.58,169.92,35.11,81.56,30.99,2.395,283,291
33600,171.14,81.19,170.96,35.19,81.95,31.82,2.317,415,433
33710,173.01,81.52,173,33.32,81.81,30.16,2.346,126,141
33819,-178.51,82.25,-179.09,30.37,80.49,26.26,2.263,344,379
33929,-179.06,83.92,-179.59,27.29,78.77,22.84,2.248,217,308
34039,169.95,85.55,173.04,23.68,76.94,20.27,2.155,185,321
34149,135.96,86.38,141.16,21.66,77.51,19.43,2.072,350,391
34259,128.5,87.51,135.4,14.65,79.96,12.77,2.131,351,329
34369,118.78,88.98,127.16,6.6,79.27,6.1,2.097,315,286
34479,16.26,89.57,27.07,4.51,77.7,6.69,2.072,311,301
34589,-41.85,88.53,-28.22,1.94,75.64,8.4,2.072,263,333
34699,-63.26,86.95,-43.67,-3.44,74.08,10.75,2.107,346,339
34809,-92.53,85.94,-65.44,-118.52,0.08,179.94,2.028,345,318
34919,-147.54,83.73,-123.39,-2.14,78.99,21.81,2.082,390,437
35028,-158.51,80.42,-129.75,17.24,82.04,43.9,2.356,376,254
35138,-163.59,78.21,-126.51,36.76,83.92,67.45,2.38,398,438
35248,-162.96,76.53,-124.82,50.71,83.35,81.93,2.331,382,403
35358,-170.43,75.85,-127.23,65.86,82.95,100.07,2.307,260,226
35469,-174.43,75.55,-128.71,72.84,81.8,109.62,2.234,347,400
35579,179.89,75.85,-131.85,73.3,80.08,111.97,2.16,384,435
35689,171.62,76.39,-135.84,73.33,78,115.35,2.038,282,344
35799,157.42,77.02,-147.54,71.4,75.42,115.64,2.028,350,396
35909,141.41,76.85,-160.52,69.97,73.41,112.48,2.009,170,137
36019,134.11,76.73,-164.36,63.97,71.57,113.22,2.053,166,168
36128,130.34,78.31,-163.31,64.39,74.19,118.32,2.077,163,158
36238,130.13,79.99,-158.63,56.88,74.54,117.16,2.111,197,273
